sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
453010,,Default,simple,Default Category/Measurement & Diagnostic Instruments/Pressure Measurement,base,GAUGE PRESS ECONOMY 2IN 0 TO 30PSI MNPT,"WINTERS Economy Pressure Gauge, PEM Series, 2 in Dial, 0 to 30 psi Measuring, +/-3-2-3 % Accuracy, MNPT Connection, -40 to 150 deg F, Steel, Black, 2.19 in Dia x 2.992 in H x 1.161 in D, Additional Information: Bottom Connection, psi/kPa Measuring Scale","WINTERS PEM Series Economy Pressure Gauge, 2 in Dial, 0 to 30 psi Measuring Range, +/-3-2-3 % Accuracy",,1,Taxable Goods,"Catalog, Search",14,,,,gauge-press-economy-2in-0-to-30psi-mnpt,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
15353764,,Default,simple,Default Category/Bathroom Fixtures/Bathroom Sink Faucets,base,TOILET ONE-PC ECO ULTRAMAX ELONGATED FL,"TOTO One-Piece Toilet, Eco Ultramax&reg; Collection, 1.28 gpf Flush Rate, Gravity Fed Flush, 12 in Rough-In, 2-1/8 in Trapway, 3 in Flush Valve, E-Max Flush&reg; Flushing System, Floor Mounting, Elongated Bowl, 9-7/8 in W x 24-7/16 in D Bowl, Vitreous China, Cotton, 28-1/4 in L x 16-1/2 in W x 29-1/4 in H, Domestic/Import: Domestic","TOTO Eco Ultramax&reg; One-Piece Toilet, Elongated Bowl, 1.28 gpf Flush Rate, Cotton, Domestic",117,1,Taxable Goods,"Catalog, Search",14,,,,toilet-one-pc-eco-ultramax-elongated-fl,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
14312200,,Default,simple,Default Category/Pipe Fittings/Flexible Pipe Fittings,base,CAP END 4.3PSI ELASTOMERIC PVC,"BOSHART End Cap, 4.3 psi, Elastomeric PVC, -30 to 140 deg F, Additional Information: 1.75 in H x 4.9 in W","BOSHART End Cap, 4.3 psi, Elastomeric PVC",,1,Taxable Goods,"Catalog, Search",17,,,,cap-end-4-3psi-elastomeric-pvc,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
14037880,,Default,simple,Default Category/Pipe Fittings/PEX Fittings,base,TEE REDUCING TEE PEX|PEX|PEX 1-1/4IN PEX,"Uponor Reducing Tee, Tee Fitting, 1-1/4 in Connection Size 1, Connection Type 1: PEX, 3/4 in Connection Size 2, Connection Type 2: PEX, Connection Size 3: 1-1/4 in, Connection Type 3: PEX, PEX|PEX|PEX Connection, Polymer, Material Construction: Polymer, 160 psi, 200 deg F","Uponor Reducing Tee, 1-1/4 in PEX x 3/4 in PEX x 1-1/4 in PEX, Polymer",,1,Taxable Goods,"Catalog, Search",21,,,,tee-reducing-tee-pex-pex-pex-1-1-4in-pex,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
14678830,,Default,simple,Default Category/Pipe Fittings/Brass Compression Fittings,base,COUPLING COUPLING BARBED|MNPT 1/2IN BRS,"Fairview Coupling, 125 Series, Coupling Fitting, 1/2 in Connection Size 1, Connection Type 1: Barbed, 1/2 in Connection Size 2, Connection Type 2: MNPT, Barbed|MNPT Connection, Brass, Material Construction: CA360 Brass, 1000 psi Maximum Operating Pressure, 40 to 220 deg F Operating Temperature","Fairview Coupling, 1/2 in Barbed x 1/2 in MNPT, Brass",,1,Taxable Goods,"Catalog, Search",10,,,,coupling-coupling-barbed-mnpt-1-2in-brs,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
17094439,,Default,simple,Default Category/Valves/Y-Strainers,base,STRAINER 3/4IN SCR-TO-CONNECT 20 16GPM,"Mueller Steam Specialty&trade; Strainer, 3/4 in Nominal, Screw-to-Connect Connection, 20 Mesh, 16 gpm Flow Rate, 304 Stainless Steel Filter, Graphite Mesh, Iron Housing, 3-3/4 in L, 400 psi, -20 to 150 deg F","Mueller Steam Specialty&trade; Strainer, 3/4 in Nominal, Screw-to-Connect, 20 Mesh",,1,Taxable Goods,"Catalog, Search",14,,,,strainer-3-4in-scr-to-connect-20-16gpm,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
HVACR_7594C,,Default,simple,"Default Category/Kitchen Plumbing/Bar Sinks, Prep Sinks & Faucets",base,FAUCET KITCHEN DECK ARBOR CHROMES 1-HDL,"Moen&reg; Kitchen Faucet, Arbor&reg; Collection, Faucet Configuration: Pull-Down, Deck Mounting, Manufacturer Finish: Chrome, Finish Family: Chromes, 1-Handle Handles, Lever Handle Style, 1.5 gpm Flow Rate, 8-1/4 in Spout Height, 7-7/8 in Spout Reach, Gooseneck Spout, Ceramic Disc, 2-1/2 in Maximum Deck Thickness, Compression Connection, Low Lead Low Lead, ADA Compliant, Additional Information: Brass Handle","Moen&reg; Arbor&reg; Kitchen Faucet, Deck, Pull-Down, Chrome",,1,Taxable Goods,"Catalog, Search",14,,,,faucet-kitchen-deck-arbor-chromes-1-hdl,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
15221340,,Default,simple,Default Category/Tools & Maintenance/Outdoor Tools & Supplies,base,ASSEMBLY COUPLING HOSE COUPLING 1/2IN,"Master Plumber&reg; Hose Coupling Assembly, Coupling Fitting, 1/2 in Connection Size 1, Connection Type 1: Barbed, 1/2 in Connection Size 2, Connection Type 2: Barbed, Barbed|Barbed Connection, Brass, Material Construction: Brass","Master Plumber&reg; Hose Coupling Assembly, 1/2 in Barbed x 1/2 in Barbed, Brass",,1,Taxable Goods,"Catalog, Search",14,,,,assembly-coupling-hose-coupling-1-2in,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10045755,,Default,simple,Default Category/Plumbing Parts & Supplies/Tubular,base,VENT PLMB AUTO 1-1/2IN MIP BK,"Automatic Plumbing Vent, 1-1/2 in Nominal, MIP Connection, Black","Automatic Plumbing Vent, 1-1/2 in Nominal, MIP, Black",,1,Taxable Goods,"Catalog, Search",17,,,,vent-plmb-auto-1-1-2in-mip-bk,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
15221964,,Default,simple,Default Category/Pipe Fittings/Grooved Fittings & Flanges,base,TEE TEE GRVD 10IN 10IN 10IN IRON GRVD,"Victaulic&reg; Tee, 20 Series, Tee Fitting, 10 in Connection Size 1, Connection Type 1: Grooved, 10 in Connection Size 2, Connection Type 2: Grooved, Connection Size 3: 10 in, Connection Type 3: Grooved, Grooved Connection, Iron, Material Construction: Iron, Finish: Orange Enamel-Painted, 1000 psi, 10-3/4 in OD, Additional Information: 9 in Center to End","Victaulic&reg; 20 Series Tee, 10 in Grooved x 10 in Grooved x 10 in Grooved, Iron, Orange Enamel-Painted",72.4,1,Taxable Goods,"Catalog, Search",21,,,,tee-tee-grvd-10in-10in-10in-iron-grvd,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
15927939,,Default,simple,Default Category/Bathroom Fixtures/Bathtub & Shower Faucets (trim),base,TOILET TWO-PC SUTO 0.8GPF 12IN FL 3L 3IN,"contrac&reg; Two-Piece Toilet, Suto Collection, 0.8 gpf Flush, 3 L Tank, 12 in Rough-In, 8 x 5-3/4 in Water Surface, 3 in Flush Valve, Lever Handle, Siphon Jet Flush Action Flushing System, Floor Mounting, Compact Elongated Bowl, 17 in H x 14-3/4 in W Bowl, Vitreous China, Soft White, Dimensions: 31-1/4 in H x 16-1/2 in W x 27-1/4 in D","contrac&reg; Suto Two-Piece Toilet, 0.8 gpf Flush Rate, 12 in Rough-In, Floor Mounting, Compact Elongated Bowl",89.23,1,Taxable Goods,"Catalog, Search",10,,,,toilet-two-pc-suto-0-8gpf-12in-fl-3l-3in,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
HVACR_F1921250,,Default,simple,Default Category/Pipe & Tubing/Plastic Pipe & Tubing,base,TUBE 1-1/4IN 20FT POL THN 1.054IN WHT,"Uponor Tube, AquaPEX&reg; Series, 1-1/4 in Nominal, 1.054 in Inside Diameter, 1-3/8 in Outside Diameter, 20 ft Length, Polyethylene, Material Construction: Polyethylene, White, 160 psi Working Pressure","Uponor AquaPEX&reg; Series Tube, 1-1/4 in, 20 ft L, Polyethylene, 1.054 in ID, 1-3/8 in OD, White",,1,Taxable Goods,"Catalog, Search",14,,,,tube-1-1-4in-20ft-pol-thn-1-054in-wht,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
